AnimalType,Breed,Color,Sex,IntakeType,IntakeCondition,TimeInShelterDays,AgeInDays,TimeInShelterDays_log
Dog,German Shepherd Mix,Gray/Tricolor,Intact Male,Owner Surrender,Normal,132,730,4.890349128221754
Dog,Pointer,Black/Blue Tick,Neutered Male,Stray,Normal,5,120,1.791759469228055
Cat,Domestic Medium Hair Mix,Tortie,Intact Female,Stray,Normal,33,365,3.5263605246161616
Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,Stray,Injured,54,30,4.007333185232471
Cat,Domestic Shorthair,Black,Intact Male,Stray,Normal,73,7,4.30406509320417
Dog,Great Pyrenees Mix,White,Intact Male,Stray,Normal,7,150,2.0794415416798357
Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,Stray,Normal,91,28,4.5217885770490405
Other,Belgian Hare,Gray/Gray,Intact Female,Owner Surrender,Normal,42,730,3.7612001156935624
Dog,Irish Terrier Mix,Brown,Intact Female,Stray,Normal,5,1460,1.791759469228055
Cat,Domestic Shorthair Mix,Black,Spayed Female,Owner Surrender,Normal,29,120,3.4011973816621555
Dog,Jack Russell Terrier Mix,Tricolor,Intact Male,Owner Surrender,Normal,1,60,0.6931471805599453
Dog,Doberman Pinsch Mix,Blue/Tan,Neutered Male,Owner Surrender,Normal,8,210,2.1972245773362196
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Owner Surrender,Normal,20,60,3.044522437723423
Cat,Domestic Shorthair Mix,Black,Intact Male,Stray,Normal,78,21,4.3694478524670215
Dog,German Shepherd Mix,Tan/Brown,Intact Male,Stray,Normal,44,730,3.8066624897703196
Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,Stray,Sick,19,30,2.995732273553991
Cat,Domestic Shorthair Mix,Blue,Intact Female,Stray,Normal,93,365,4.543294782270004
Cat,Domestic Shorthair,Black,Intact Male,Stray,Normal,109,14,4.700480365792417
Dog,Dachshund Mix,Tan/White,Intact Male,Stray,Normal,4,365,1.6094379124341003
Dog,Labrador Retriever Mix,Black/White,Neutered Male,Owner Surrender,Normal,24,2555,3.2188758248682006
Dog,Pit Bull Mix,Tan/White,Spayed Female,Owner Surrender,Normal,2,365,1.0986122886681098
Dog,Whippet Mix,Tan,Intact Female,Stray,Normal,10,365,2.3978952727983707
Dog,Whippet Mix,Tan,Intact Female,Stray,Normal,340,365,5.831882477283517
Cat,Domestic Medium Hair Mix,Gray/White,Intact Female,Stray,Normal,24,1095,3.2188758248682006
Dog,Labrador Retriever Mix,Black/White,Spayed Female,Owner Surrender,Normal,3,270,1.3862943611198906
Cat,Domestic Shorthair Mix,Calico,Intact Female,Stray,Normal,21,30,3.091042453358316
Dog,Dachshund Mix,Red/White,Intact Female,Stray,Normal,4,180,1.6094379124341003
Cat,Domestic Longhair Mix,Black/White,Intact Male,Stray,Normal,60,30,4.110873864173311
Cat,Domestic Shorthair Mix,Blue Tabby/White,Intact Male,Stray,Normal,6,120,1.9459101490553132
Dog,Labrador Retriever Mix,Chocolate,Intact Male,Stray,Injured,250,2190,5.5254529391317835
Dog,Labrador Retriever Mix,Chocolate,Intact Male,Stray,Injured,232,2190,5.4510384535657
Dog,Pit Bull Mix,Blue Tiger/White,Neutered Male,Owner Surrender,Normal,16,1460,2.833213344056216
Dog,Labrador Retriever/Australian Cattle Dog,White/Red Merle,Intact Female,Stray,Normal,8,365,2.1972245773362196
Dog,Black/Tan Hound/Labrador Retriever,Black/Tan,Intact Male,Stray,Normal,4,120,1.6094379124341003
Cat,Domestic Medium Hair,Tortie,Intact Female,Stray,Normal,20,30,3.044522437723423
Dog,Labrador Retriever Mix,Tan,Intact Female,Owner Surrender,Normal,7,60,2.0794415416798357
Dog,Pit Bull Mix,Brown Brindle/White,Intact Female,Stray,Normal,115,730,4.7535901911063645
Dog,German Shepherd Mix,White,Intact Female,Stray,Normal,39,730,3.6888794541139363
Dog,German Shepherd/Labrador Retriever,Tan/Black,Neutered Male,Stray,Normal,68,1825,4.23410650459726
Dog,Chihuahua Shorthair Mix,Black/Tan,Spayed Female,Owner Surrender,Normal,1,1095,0.6931471805599453
Cat,Domestic Shorthair Mix,Blue,Intact Male,Stray,Normal,132,28,4.890349128221754
Dog,Carolina Dog Mix,Tan/Black,Neutered Male,Owner Surrender,Normal,6,240,1.9459101490553132
Dog,Dogo Argentino Mix,White/Yellow Brindle,Neutered Male,Stray,Normal,245,1460,5.5053315359323625
Dog,Dachshund Mix,Red/White,Intact Male,Stray,Normal,4,60,1.6094379124341003
Dog,Catahoula Mix,White/Gray,Intact Female,Stray,Normal,11,150,2.4849066497880004
Dog,Beagle Mix,Tan/White,Intact Male,Owner Surrender,Normal,1,30,0.6931471805599453
Cat,Domestic Shorthair Mix,Lynx Point/White,Spayed Female,Owner Surrender,Normal,7,730,2.0794415416798357
Dog,Whippet Mix,Brown/White,Intact Female,Stray,Normal,143,60,4.969813299576001
Dog,Whippet Mix,Brown/White,Intact Female,Stray,Normal,6,60,1.9459101490553132
Dog,Whippet Mix,Brown/White,Intact Female,Stray,Normal,146,60,4.990432586778736
Cat,Domestic Shorthair,White/Brown Tabby,Intact Female,Stray,Normal,5,90,1.791759469228055
Dog,Labrador Retriever Mix,Tan,Intact Male,Stray,Normal,4,30,1.6094379124341003
Dog,Miniature Poodle Mix,Black/White,Intact Female,Stray,Nursing,75,5,4.330733340286331
Dog,Labrador Retriever/German Shepherd,Black/Brown,Intact Male,Stray,Normal,13,730,2.6390573296152584
Dog,Pit Bull Mix,Blue/White,Intact Female,Stray,Normal,109,365,4.700480365792417
Dog,Cairn Terrier Mix,Brown,Intact Female,Stray,Normal,6,1095,1.9459101490553132
Dog,Labrador Retriever Mix,Tan,Spayed Female,Owner Surrender,Normal,6,1095,1.9459101490553132
Cat,Domestic Medium Hair,Blue Cream,Intact Female,Stray,Normal,7,60,2.0794415416798357
Dog,Chihuahua Shorthair,Brown,Neutered Male,Owner Surrender,Normal,42,365,3.7612001156935624
Cat,Domestic Shorthair Mix,Torbie/White,Intact Female,Stray,Normal,205,28,5.327876168789581
Dog,Labrador Retriever Mix,Black/White,Spayed Female,Stray,Normal,15,1460,2.772588722239781
Dog,Labrador Retriever Mix,Black/White,Spayed Female,Stray,Normal,4,1460,1.6094379124341003
Cat,Domestic Shorthair Mix,Black,Intact Female,Stray,Normal,117,30,4.770684624465665
Cat,Domestic Shorthair Mix,Blue/White,Intact Male,Owner Surrender,Normal,36,300,3.6109179126442243
Dog,Golden Retriever/Great Pyrenees,Buff,Neutered Male,Owner Surrender,Injured,12,2190,2.5649493574615367
Cat,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,Owner Surrender,Normal,180,1095,5.198497031265826
Cat,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,Owner Surrender,Normal,22,1095,3.1354942159291497
Dog,Labrador Retriever Mix,Brown/White,Intact Female,Stray,Normal,4,30,1.6094379124341003
Cat,Domestic Shorthair,Brown Tabby,Intact Female,Stray,Normal,102,30,4.634728988229636
Cat,Domestic Shorthair Mix,Brown Tabby/White,Neutered Male,Stray,Normal,14,270,2.70805020110221
Dog,Labrador Retriever Mix,Black,Intact Male,Stray,Normal,3,180,1.3862943611198906
Dog,Border Collie Mix,Black/White,Intact Male,Stray,Normal,7,30,2.0794415416798357
Dog,Boston Terrier Mix,Brown Brindle/White,Intact Female,Stray,Normal,5,240,1.791759469228055
Cat,Domestic Shorthair Mix,Blue Tabby/White,Intact Female,Stray,Normal,40,21,3.713572066704308
Cat,Domestic Shorthair Mix,Torbie,Intact Female,Owner Surrender,Normal,13,30,2.6390573296152584
Cat,Domestic Shorthair Mix,Torbie,Intact Female,Owner Surrender,Normal,43,30,3.784189633918261
Cat,Domestic Shorthair Mix,Black,Intact Male,Stray,Normal,145,30,4.983606621708336
Dog,Labrador Retriever,Red/White,Intact Male,Stray,Normal,6,730,1.9459101490553132
Dog,Labrador Retriever,Red/White,Intact Male,Stray,Normal,4,730,1.6094379124341003
Dog,Labrador Retriever,Red/White,Intact Male,Stray,Normal,10,730,2.3978952727983707
Dog,German Shepherd/Australian Cattle Dog,Tan/Red Tick,Neutered Male,Owner Surrender,Normal,11,365,2.4849066497880004
Cat,Domestic Shorthair Mix,Orange Tabby,Intact Female,Stray,Normal,68,28,4.23410650459726
Dog,Pit Bull Mix,Tan/White,Neutered Male,Owner Surrender,Normal,30,730,3.4339872044851463
Dog,Black Mouth Cur Mix,Sable/Black,Intact Female,Stray,Normal,4,60,1.6094379124341003
Dog,Maltese Mix,White,Spayed Female,Public Assist,Normal,8,1825,2.1972245773362196
Cat,Domestic Medium Hair Mix,Brown Tabby,Neutered Male,Owner Surrender,Normal,59,2555,4.0943445622221
Dog,Chihuahua Shorthair Mix,Cream,Intact Male,Stray,Normal,8,120,2.1972245773362196
Dog,Miniature Poodle/Maltese,Gray,Intact Male,Stray,Normal,3,1825,1.3862943611198906
Dog,Pointer Mix,Black/White,Intact Female,Stray,Normal,11,180,2.4849066497880004
Dog,Cairn Terrier Mix,Cream,Intact Female,Stray,Normal,59,7,4.0943445622221
Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,Stray,Normal,10,30,2.3978952727983707
Dog,German Shepherd Mix,Cream/Black,Intact Female,Stray,Normal,4,365,1.6094379124341003
Dog,Cardigan Welsh Corgi Mix,Yellow/White,Neutered Male,Owner Surrender,Normal,50,2555,3.9318256327243257
Dog,Cardigan Welsh Corgi Mix,Yellow/White,Neutered Male,Owner Surrender,Normal,24,2555,3.2188758248682006
Dog,Cardigan Welsh Corgi Mix,Yellow/White,Neutered Male,Owner Surrender,Normal,85,2555,4.454347296253507
Dog,German Shepherd Mix,Black/Brown,Intact Male,Public Assist,Normal,85,1095,4.454347296253507
Dog,Chihuahua Shorthair Mix,Black/Fawn,Intact Male,Stray,Normal,143,1825,4.969813299576001
Dog,Chihuahua Shorthair Mix,Black/Fawn,Intact Male,Stray,Normal,3,1825,1.3862943611198906
Dog,Miniature Schnauzer Mix,Blue/Tan,Intact Female,Stray,Normal,4,730,1.6094379124341003
Cat,Domestic Shorthair Mix,Black,Intact Male,Owner Surrender,Normal,11,60,2.4849066497880004
Dog,Pit Bull Mix,White/Black,Intact Female,Stray,Normal,49,2190,3.912023005428146
Dog,Blue Lacy/Basset Hound,Blue/White,Intact Female,Stray,Normal,6,270,1.9459101490553132
Dog,German Shepherd Mix,Tan/Black,Intact Male,Stray,Normal,5,1460,1.791759469228055
Dog,German Shepherd Mix,Tan/Black,Intact Male,Stray,Normal,8,1460,2.1972245773362196
Dog,German Shepherd Mix,Tan/Black,Intact Male,Stray,Normal,11,1460,2.4849066497880004
Cat,Domestic Shorthair,Blue,Spayed Female,Owner Surrender,Normal,15,1825,2.772588722239781
Dog,Standard Poodle/Labrador Retriever,White,Intact Male,Stray,Normal,4,270,1.6094379124341003
Cat,Domestic Shorthair Mix,Torbie/White,Intact Female,Stray,Normal,63,7,4.1588830833596715
Dog,Labrador Retriever Mix,Brown/Black,Intact Female,Stray,Normal,6,365,1.9459101490553132
Dog,American Pit Bull Terrier Mix,Tan/White,Spayed Female,Stray,Normal,87,365,4.477336814478207
Dog,Great Pyrenees/Australian Shepherd,White/Brown,Intact Male,Stray,Normal,30,365,3.4339872044851463
Cat,Domestic Shorthair Mix,White,Intact Female,Stray,Normal,59,28,4.0943445622221
Dog,Australian Shepherd Mix,White/Tricolor,Intact Female,Stray,Normal,8,180,2.1972245773362196
Dog,Plott Hound Mix,Brown Brindle,Intact Female,Stray,Normal,7,730,2.0794415416798357
Dog,Chihuahua Shorthair Mix,White/Black,Intact Female,Stray,Normal,97,730,4.584967478670572
Dog,Labrador Retriever Mix,White,Intact Male,Stray,Normal,7,1095,2.0794415416798357
Dog,English Coonhound,Black/Brown,Spayed Female,Owner Surrender,Normal,261,365,5.568344503761097
Dog,English Coonhound,Black/Brown,Spayed Female,Owner Surrender,Normal,1,365,0.6931471805599453
Cat,Domestic Shorthair,Brown Tabby/White,Neutered Male,Stray,Normal,19,730,2.995732273553991
Dog,Labrador Retriever Mix,Chocolate/White,Intact Male,Stray,Normal,32,21,3.4965075614664802
Dog,Miniature Schnauzer Mix,Black/White,Spayed Female,Stray,Normal,8,730,2.1972245773362196
Dog,Miniature Schnauzer Mix,Black/White,Spayed Female,Stray,Normal,5,730,1.791759469228055
Dog,Miniature Poodle Mix,Black,Intact Male,Stray,Normal,3,1095,1.3862943611198906
Dog,Miniature Poodle Mix,Black,Intact Male,Stray,Normal,71,1095,4.276666119016055
Cat,Domestic Shorthair Mix,Black/White,Intact Male,Stray,Normal,53,28,3.9889840465642745
Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,Stray,Normal,16,60,2.833213344056216
Dog,Mastiff Mix,Brown/Black,Intact Male,Owner Surrender,Normal,1,120,0.6931471805599453
Dog,Dachshund Mix,Black,Spayed Female,Stray,Normal,14,1460,2.70805020110221
Dog,Dachshund Mix,Black,Spayed Female,Stray,Normal,32,1460,3.4965075614664802
Dog,Australian Cattle Dog Mix,Black/White,Spayed Female,Owner Surrender,Normal,1,270,0.6931471805599453
Dog,Labrador Retriever Mix,Tan,Intact Male,Stray,Normal,62,1,4.143134726391533
Dog,Pit Bull Mix,Blue/White,Intact Male,Stray,Normal,14,365,2.70805020110221
Dog,Pekingese/Maltese,White,Neutered Male,Stray,Normal,3,2190,1.3862943611198906
Cat,Maine Coon Mix,Brown Tabby/White,Intact Male,Stray,Injured,10,120,2.3978952727983707
Cat,Domestic Shorthair Mix,Calico,Intact Female,Owner Surrender,Normal,13,30,2.6390573296152584
Dog,Pointer Mix,Black/White,Spayed Female,Stray,Normal,108,730,4.6913478822291435
Dog,Pointer Mix,Black/White,Spayed Female,Stray,Normal,88,730,4.48863636973214
Cat,Domestic Medium Hair Mix,Brown Tabby,Neutered Male,Owner Surrender,Normal,5,365,1.791759469228055
Dog,Staffordshire Mix,Blue/White,Spayed Female,Owner Surrender,Normal,61,730,4.127134385045092
Dog,Chihuahua Shorthair Mix,Black/White,Intact Male,Stray,Normal,4,300,1.6094379124341003
Dog,Pit Bull Mix,Brown,Neutered Male,Stray,Sick,134,730,4.90527477843843
Dog,Pit Bull Mix,Brown,Neutered Male,Stray,Sick,294,730,5.68697535633982
Cat,Domestic Shorthair Mix,Orange Tabby,Intact Female,Stray,Normal,32,30,3.4965075614664802
Dog,Pit Bull Mix,Black,Intact Male,Stray,Normal,8,30,2.1972245773362196
Dog,German Shepherd Mix,Tan/Brown,Intact Male,Stray,Normal,53,28,3.9889840465642745
Dog,Great Pyrenees Mix,White,Intact Male,Stray,Normal,10,210,2.3978952727983707
Dog,German Shepherd/Labrador Retriever,Tan,Neutered Male,Stray,Normal,197,365,5.288267030694535
Cat,Domestic Longhair Mix,Calico,Intact Female,Stray,Normal,4,30,1.6094379124341003
Cat,Domestic Shorthair Mix,Calico,Spayed Female,Owner Surrender,Normal,179,2920,5.19295685089021
Cat,Domestic Shorthair Mix,Calico,Spayed Female,Owner Surrender,Normal,279,2920,5.634789603169249
Dog,Schipperke Mix,Black/White,Neutered Male,Owner Surrender,Normal,25,365,3.258096538021482
Dog,Pit Bull Mix,Chocolate/White,Intact Male,Public Assist,Normal,55,730,4.02535169073515
Dog,Chihuahua Shorthair Mix,Cream,Intact Female,Stray,Normal,4,730,1.6094379124341003
Dog,Beagle Mix,Tan,Neutered Male,Public Assist,Normal,33,3285,3.5263605246161616
Cat,Domestic Longhair Mix,Black/White,Neutered Male,Owner Surrender,Normal,44,1095,3.8066624897703196
Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,Stray,Normal,10,60,2.3978952727983707
Dog,Chihuahua Shorthair Mix,Brown,Intact Male,Stray,Normal,4,730,1.6094379124341003
Dog,Siberian Husky Mix,Sable,Intact Female,Owner Surrender,Normal,69,7,4.248495242049359
Bird,Conure,Green,Unknown,Stray,Normal,3,365,1.3862943611198906
Dog,Basset Hound/Black/Tan Hound,Black/Brown,Intact Female,Stray,Normal,4,60,1.6094379124341003
Dog,Chihuahua Shorthair,Brown/Tan,Intact Female,Stray,Normal,4,270,1.6094379124341003
Dog,Australian Cattle Dog,Tan/Red Merle,Intact Female,Stray,Normal,5,30,1.791759469228055
Dog,Pit Bull Mix,Brown Brindle/White,Spayed Female,Stray,Normal,10,365,2.3978952727983707
Dog,Chihuahua Shorthair Mix,White/Red,Intact Female,Stray,Normal,46,1095,3.8501476017100584
Dog,Chihuahua Shorthair Mix,White/Red,Intact Female,Stray,Normal,35,1095,3.58351893845611
Dog,Pointer Mix,White/Brown Brindle,Intact Female,Stray,Normal,11,365,2.4849066497880004
Dog,Australian Cattle Dog Mix,Blue Merle/White,Intact Female,Stray,Normal,9,730,2.302585092994046
Dog,Miniature Schnauzer/Miniature Poodle,Gray/White,Intact Female,Stray,Normal,4,1095,1.6094379124341003
Dog,German Shepherd Mix,Black/Brown,Spayed Female,Owner Surrender,Normal,48,4015,3.8918202981106265
Dog,German Shepherd Mix,Black/Brown,Spayed Female,Owner Surrender,Normal,19,4015,2.995732273553991
Dog,American Pit Bull Terrier Mix,White/Tan,Intact Male,Stray,Normal,44,730,3.8066624897703196
Cat,Domestic Shorthair Mix,Black,Spayed Female,Owner Surrender,Normal,139,1095,4.941642422609304
Cat,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,Owner Surrender,Injured,225,1460,5.420534999272286
Dog,Labrador Retriever Mix,Tan/Brown,Intact Female,Stray,Normal,311,35,5.7430031878094825
Dog,Labrador Retriever Mix,Tan/Brown,Intact Female,Stray,Normal,27,35,3.332204510175204
Dog,Whippet Mix,Brown/Black,Intact Female,Stray,Normal,3,330,1.3862943611198906
Dog,Dachshund Longhair Mix,Brown,Intact Male,Stray,Normal,4,90,1.6094379124341003
Dog,Chihuahua Shorthair/Dachshund,Tan,Spayed Female,Owner Surrender,Normal,4,1460,1.6094379124341003
Bird,Chicken,Gray/Brown,Intact Female,Public Assist,Normal,18,365,2.9444389791664403
Dog,Labrador Retriever/Pit Bull,White/Tan,Spayed Female,Owner Surrender,Normal,74,1095,4.31748811353631
Dog,Anatol Shepherd Mix,White/Cream,Intact Male,Stray,Normal,32,270,3.4965075614664802
Dog,Rat Terrier Mix,White/Tricolor,Intact Male,Stray,Normal,4,365,1.6094379124341003
Dog,Labrador Retriever Mix,Black/White,Intact Male,Stray,Normal,10,180,2.3978952727983707
Dog,Chihuahua Shorthair Mix,Calico,Spayed Female,Stray,Normal,2,2190,1.0986122886681098
Cat,Domestic Shorthair,Blue Tabby,Intact Male,Stray,Normal,15,30,2.772588722239781
Dog,Cardigan Welsh Corgi,Tan/White,Intact Female,Stray,Normal,5,365,1.791759469228055
Dog,Dachshund Wirehair/Border Terrier,Tan,Intact Male,Owner Surrender,Normal,1,60,0.6931471805599453
Cat,Domestic Shorthair Mix,Black,Spayed Female,Owner Surrender,Normal,102,2920,4.634728988229636
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,Stray,Normal,68,21,4.23410650459726
Dog,Bull Terrier Mix,Fawn,Intact Female,Stray,Normal,5,30,1.791759469228055
Other,Californian Mix,White/Black,Intact Female,Owner Surrender,Normal,15,150,2.772588722239781
Cat,Domestic Shorthair Mix,Brown Tabby,Neutered Male,Owner Surrender,Normal,109,730,4.700480365792417
Cat,Domestic Shorthair Mix,Brown Tabby,Neutered Male,Owner Surrender,Normal,78,730,4.3694478524670215
Dog,Australian Cattle Dog/Boxer,Red Tick,Spayed Female,Owner Surrender,Normal,11,1460,2.4849066497880004
Dog,Flat Coat Retriever Mix,Black,Intact Female,Stray,Normal,4,730,1.6094379124341003
Cat,Domestic Longhair Mix,Black/White,Intact Female,Stray,Normal,32,28,3.4965075614664802
Cat,Domestic Shorthair,Tortie,Intact Female,Stray,Nursing,57,28,4.060443010546419
Dog,Staffordshire Mix,Blue/White,Intact Female,Stray,Normal,28,730,3.367295829986474
Cat,Domestic Shorthair,Black,Neutered Male,Owner Surrender,Normal,6,1460,1.9459101490553132
Cat,Domestic Shorthair Mix,Flame Point,Neutered Male,Owner Surrender,Normal,5,1825,1.791759469228055
Dog,Labrador Retriever Mix,Black/White,Spayed Female,Owner Surrender,Normal,12,3285,2.5649493574615367
Cat,Domestic Shorthair,White/Brown Tabby,Intact Male,Stray,Normal,57,30,4.060443010546419
Dog,English Coonhound Mix,Red Tick,Spayed Female,Owner Surrender,Normal,26,730,3.295836866004329
Dog,Australian Cattle Dog,Blue Merle,Neutered Male,Owner Surrender,Normal,3,730,1.3862943611198906
Dog,Labrador Retriever Mix,Black/White,Spayed Female,Owner Surrender,Normal,6,1095,1.9459101490553132
Dog,Maltese/Chihuahua Shorthair,White/Buff,Intact Male,Owner Surrender,Normal,2,1095,1.0986122886681098
Cat,Domestic Shorthair Mix,Black,Intact Male,Stray,Normal,54,21,4.007333185232471
Dog,Beagle/Pug,Tan/Black,Spayed Female,Owner Surrender,Normal,114,1825,4.74493212836325
Cat,Domestic Shorthair Mix,Calico,Spayed Female,Owner Surrender,Normal,8,1460,2.1972245773362196
Bird,Parakeet,Green/Yellow,Unknown,Owner Surrender,Normal,11,365,2.4849066497880004
Cat,Domestic Shorthair Mix,Cream Tabby/White,Intact Male,Stray,Normal,11,30,2.4849066497880004
Dog,Labrador Retriever Mix,Tan/White,Spayed Female,Stray,Normal,5,365,1.791759469228055
Dog,Labrador Retriever,Black/White,Intact Female,Stray,Normal,6,730,1.9459101490553132
Cat,Domestic Shorthair Mix,Black Tabby/White,Intact Female,Owner Surrender,Normal,2,60,1.0986122886681098
Dog,Labrador Retriever Mix,Black,Neutered Male,Stray,Normal,6,365,1.9459101490553132
Dog,Pit Bull Mix,Brown Brindle/White,Spayed Female,Owner Surrender,Normal,16,1095,2.833213344056216
Bird,Chicken,Red/Black,Intact Male,Stray,Normal,12,365,2.5649493574615367
Dog,Tibetan Terrier Mix,Black/Brown,Neutered Male,Owner Surrender,Normal,2,2920,1.0986122886681098
Dog,Pit Bull Mix,Black/White,Spayed Female,Owner Surrender,Normal,1,210,0.6931471805599453
Dog,Pit Bull Mix,Blue Tiger/White,Neutered Male,Stray,Normal,11,365,2.4849066497880004
Dog,Pit Bull Mix,Blue Tiger/White,Neutered Male,Stray,Normal,85,365,4.454347296253507
Dog,Chihuahua Shorthair Mix,Brown/White,Intact Male,Stray,Normal,5,1095,1.791759469228055
Cat,Domestic Shorthair Mix,Black,Intact Female,Stray,Injured,32,730,3.4965075614664802
Dog,Labrador Retriever Mix,Black/White,Spayed Female,Owner Surrender,Normal,8,365,2.1972245773362196
Cat,Domestic Shorthair,White/Gray,Intact Male,Stray,Normal,64,30,4.174387269895637
Dog,Pit Bull Mix,Brown Brindle,Spayed Female,Owner Surrender,Normal,4,60,1.6094379124341003
Cat,Domestic Shorthair Mix,Blue/White,Intact Female,Stray,Normal,25,28,3.258096538021482
Dog,Yorkshire Terrier/Chinese Crested,Black/Gray,Spayed Female,Stray,Normal,7,1095,2.0794415416798357
Cat,Domestic Shorthair Mix,Orange Tabby,Intact Male,Stray,Normal,14,60,2.70805020110221
Cat,Domestic Shorthair Mix,Blue,Intact Male,Stray,Injured,85,365,4.454347296253507
Cat,Domestic Shorthair Mix,Blue,Intact Male,Stray,Injured,15,365,2.772588722239781
Dog,Labrador Retriever/Pit Bull,Black/White,Intact Female,Owner Surrender,Nursing,147,365,4.997212273764115
Dog,Doberman Pinsch/Labrador Retriever,Brown/Tan,Intact Male,Stray,Normal,10,365,2.3978952727983707
Cat,Domestic Shorthair Mix,Orange Tabby/White,Intact Male,Stray,Normal,3,60,1.3862943611198906
Cat,Siamese Mix,Blue Point,Intact Male,Stray,Normal,4,60,1.6094379124341003
Dog,Labrador Retriever Mix,Yellow,Spayed Female,Stray,Injured,22,4015,3.1354942159291497
Other,Rabbit Sh Mix,Black,Neutered Male,Owner Surrender,Normal,235,365,5.4638318050256105
Cat,Domestic Shorthair Mix,Blue/White,Intact Male,Stray,Nursing,78,1,4.3694478524670215
Cat,Domestic Shorthair Mix,Black,Intact Female,Stray,Normal,71,28,4.276666119016055
Dog,Black Mouth Cur Mix,Brown/Black,Neutered Male,Owner Surrender,Normal,11,180,2.4849066497880004
Dog,German Shepherd,Brown,Intact Male,Stray,Normal,7,730,2.0794415416798357
Dog,Catahoula Mix,Sable,Intact Male,Stray,Normal,4,60,1.6094379124341003
Dog,Labrador Retriever Mix,Brown,Intact Female,Owner Surrender,Normal,33,30,3.5263605246161616
Cat,Maine Coon Mix,Brown Tabby/White,Spayed Female,Owner Surrender,Normal,1,210,0.6931471805599453
Dog,Australian Cattle Dog Mix,Black/White,Neutered Male,Stray,Normal,5,730,1.791759469228055
Dog,Chihuahua Shorthair Mix,Black,Neutered Male,Stray,Normal,6,365,1.9459101490553132
Cat,Domestic Shorthair Mix,Black Tabby/White,Spayed Female,Stray,Normal,14,730,2.70805020110221
Dog,Basset Hound/Labrador Retriever,Black/White,Neutered Male,Owner Surrender,Normal,95,1460,4.564348191467836
Cat,Domestic Shorthair Mix,Blue Tabby,Neutered Male,Stray,Normal,3,365,1.3862943611198906
Cat,Domestic Shorthair,Black,Intact Female,Stray,Normal,45,28,3.828641396489095
Cat,Domestic Shorthair,Brown Tabby,Neutered Male,Owner Surrender,Normal,13,365,2.6390573296152584
Dog,Cairn Terrier Mix,Black,Intact Male,Stray,Normal,4,730,1.6094379124341003
Dog,Rat Terrier Mix,Black/White,Intact Male,Stray,Normal,4,365,1.6094379124341003
Cat,Domestic Shorthair Mix,Brown Tabby,Spayed Female,Owner Surrender,Normal,14,3650,2.70805020110221
Cat,Domestic Shorthair Mix,Cream Tabby,Intact Female,Stray,Normal,18,60,2.9444389791664403
Dog,Labrador Retriever Mix,Black,Intact Male,Stray,Normal,7,730,2.0794415416798357
Dog,Anatol Shepherd Mix,Tan,Intact Female,Owner Surrender,Normal,2,30,1.0986122886681098
Other,Guinea Pig,Tricolor,Intact Female,Stray,Normal,14,150,2.70805020110221
Dog,Great Dane/Boxer,Tan/White,Neutered Male,Stray,Normal,42,1095,3.7612001156935624
Dog,Australian Cattle Dog Mix,Black/White,Intact Female,Stray,Normal,3,300,1.3862943611198906
Cat,Siamese Mix,Lynx Point,Intact Female,Owner Surrender,Normal,7,730,2.0794415416798357
Cat,Domestic Longhair,Brown Tabby/White,Intact Male,Stray,Normal,30,1095,3.4339872044851463
Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,Stray,Normal,5,150,1.791759469228055
Dog,Australian Cattle Dog Mix,Tricolor,Intact Female,Stray,Normal,41,150,3.7376696182833684
Dog,Catahoula Mix,Brown Merle/Tan,Intact Female,Stray,Normal,5,150,1.791759469228055
Cat,Domestic Shorthair Mix,Brown Tabby,Intact Male,Stray,Nursing,117,1,4.770684624465665
Dog,American Staffordshire Terrier Mix,Blue/White,Spayed Female,Stray,Normal,299,2555,5.703782474656201
Dog,American Staffordshire Terrier Mix,Blue/White,Spayed Female,Stray,Normal,163,2555,5.099866427824199
Dog,Pit Bull Mix,Brown/White,Spayed Female,Stray,Normal,67,730,4.219507705176107
Dog,Plott Hound/Bull Terrier,Brown Brindle/White,Spayed Female,Stray,Normal,15,365,2.772588722239781
Dog,Jack Russell Terrier Mix,White/Brown,Spayed Female,Public Assist,Normal,41,3285,3.7376696182833684
Other,Rhinelander Mix,Black/White,Intact Male,Stray,Normal,20,365,3.044522437723423
Dog,Labrador Retriever Mix,Tan,Intact Male,Stray,Normal,27,30,3.332204510175204
Dog,Pit Bull Mix,White/Brown,Intact Male,Stray,Normal,108,365,4.6913478822291435
Dog,Australian Cattle Dog Mix,White/Tan,Spayed Female,Owner Surrender,Normal,12,3650,2.5649493574615367
Cat,Domestic Shorthair Mix,Black/White,Intact Male,Stray,Nursing,57,21,4.060443010546419
