AnimalType,Color,Sex,IntakeType,IntakeCondition,TimeInShelterDays,AgeInDays,TimeInShelterDays_log,AgeGroup,breed_type,Breed_grouped,Color_grouped
Dog,Brown/White,Intact Male,Stray,Normal,16,30,2.833213344056216,Cachorro (<6m),mix,Labrador Retriever Mix,Bicolor
Dog,Black,Spayed Female,Stray,Normal,51,365,3.951243718581428,Joven (6m-1a),mix,Labrador Retriever Mix,Monocolor
Cat,Brown Tabby,Intact Female,Owner Surrender,Normal,5,150,1.791759469228055,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Brown/White,Intact Male,Stray,Normal,4,730,1.6094379124341005,Adulto joven (1-3a),purebred,Other,Monocolor
Cat,Black/White,Intact Female,Stray,Sick,11,30,2.4849066497880004,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Tan/Brown,Neutered Male,Owner Surrender,Normal,6,2190,1.9459101490553128,Adulto (3-7a),mix,Other,Monocolor
Dog,Chocolate/White,Neutered Male,Public Assist,Normal,20,3285,3.044522437723423,Senior (>7a),mix,Labrador Retriever Mix,Monocolor
Cat,Black,Intact Female,Stray,Normal,24,120,3.218875824868201,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Black,Intact Female,Stray,Normal,5,60,1.791759469228055,Cachorro (<6m),mix,German Shepherd Mix,Bicolor
Dog,Brown/White,Intact Female,Stray,Normal,7,1825,2.079441541679836,Adulto (3-7a),mix,Other,Bicolor
Dog,Black/White,Intact Male,Owner Surrender,Normal,2,730,1.0986122886681098,Adulto joven (1-3a),mix,Other,Monocolor
Dog,White/Brown,Spayed Female,Owner Surrender,Normal,16,365,2.833213344056216,Joven (6m-1a),purebred,Other,Monocolor
Dog,White/Brown,Spayed Female,Owner Surrender,Normal,30,365,3.4339872044851463,Joven (6m-1a),purebred,Other,Bicolor
Cat,Tortie,Intact Female,Stray,Normal,4,60,1.6094379124341005,Cachorro (<6m),purebred,Domestic Medium Hair Mix,Bicolor
Cat,Flame Point,Intact Male,Owner Surrender,Normal,1,60,0.6931471805599453,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Cat,Orange Tabby,Intact Female,Stray,Nursing,90,365,4.51085950651685,Joven (6m-1a),purebred,Domestic Shorthair,Tricolor
Dog,Tricolor,Intact Female,Stray,Normal,4,365,1.6094379124341005,Joven (6m-1a),mix,Other,Monocolor
Dog,Black/White,Intact Female,Stray,Normal,4,60,1.6094379124341005,Cachorro (<6m),purebred,Other,Monocolor
Dog,Black/White,Intact Female,Owner Surrender,Normal,4,30,1.6094379124341005,Cachorro (<6m),purebred,Other,Monocolor
Cat,Orange Tabby/White,Intact Male,Stray,Normal,79,90,4.382026634673881,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Brown,Intact Female,Stray,Normal,3,120,1.3862943611198906,Cachorro (<6m),mix,Chihuahua Shorthair Mix,Bicolor
Dog,Cream,Intact Male,Stray,Normal,26,30,3.295836866004329,Cachorro (<6m),purebred,Other,Monocolor
Dog,White,Intact Female,Stray,Normal,51,730,3.951243718581428,Adulto joven (1-3a),mix,German Shepherd Mix,Monocolor
Dog,White/Black,Intact Male,Stray,Normal,9,240,2.302585092994046,Joven (6m-1a),purebred,Other,Monocolor
Cat,Brown Tabby/White,Intact Male,Stray,Normal,9,240,2.302585092994046,Joven (6m-1a),purebred,Domestic Shorthair Mix,Bicolor
Dog,Tan,Intact Female,Stray,Normal,32,120,3.49650756146648,Cachorro (<6m),mix,German Shepherd Mix,Monocolor
Dog,White/Tan,Spayed Female,Owner Surrender,Normal,33,2555,3.5263605246161616,Adulto (3-7a),purebred,Other,Bicolor
Cat,Black,Neutered Male,Owner Surrender,Normal,140,330,4.948759890378168,Joven (6m-1a),purebred,Domestic Shorthair Mix,Bicolor
Dog,Silver/White,Intact Female,Stray,Normal,4,60,1.6094379124341005,Cachorro (<6m),purebred,Other,Bicolor
Dog,Black/Tan,Spayed Female,Owner Surrender,Normal,8,1095,2.19722457733622,Adulto joven (1-3a),purebred,German Shepherd,Bicolor
Dog,Red/White,Spayed Female,Owner Surrender,Normal,11,365,2.4849066497880004,Joven (6m-1a),mix,Labrador Retriever Mix,Monocolor
Dog,Apricot,Intact Female,Public Assist,Normal,16,1825,2.833213344056216,Adulto (3-7a),purebred,Other,Bicolor
Cat,Brown Tabby/White,Spayed Female,Stray,Normal,7,2920,2.079441541679836,Senior (>7a),mix,Other,Tricolor
Dog,Gray,Neutered Male,Stray,Normal,99,3285,4.605170185988092,Senior (>7a),purebred,Other,Bicolor
Dog,White/White,Spayed Female,Owner Surrender,Normal,23,730,3.1780538303479458,Adulto joven (1-3a),mix,Labrador Retriever Mix,Bicolor
Dog,Tricolor,Neutered Male,Owner Surrender,Normal,3,1095,1.3862943611198906,Adulto joven (1-3a),mix,Labrador Retriever Mix,Monocolor
Dog,Tricolor,Spayed Female,Stray,Normal,7,365,2.079441541679836,Joven (6m-1a),mix,Other,Bicolor
Dog,Tan,Spayed Female,Stray,Normal,69,3285,4.248495242049359,Senior (>7a),mix,Chihuahua Shorthair Mix,Bicolor
Dog,Tan,Spayed Female,Stray,Normal,188,3285,5.241747015059643,Senior (>7a),mix,Chihuahua Shorthair Mix,Monocolor
Cat,Torbie,Intact Female,Stray,Normal,45,30,3.828641396489095,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Cat,White/Blue Tabby,Intact Male,Stray,Normal,70,30,4.262679877041316,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Black/Brown,Spayed Female,Stray,Normal,50,730,3.9318256327243257,Adulto joven (1-3a),mix,Other,Monocolor
Cat,Gray Tabby,Intact Female,Stray,Normal,4,90,1.6094379124341005,Cachorro (<6m),purebred,Domestic Longhair Mix,Monocolor
Dog,Brown/White,Intact Female,Stray,Normal,6,365,1.9459101490553128,Joven (6m-1a),mix,Chihuahua Shorthair Mix,Monocolor
Cat,Brown Tabby,Neutered Male,Owner Surrender,Normal,19,365,2.995732273553991,Joven (6m-1a),purebred,Domestic Shorthair,Monocolor
Dog,Tricolor/Brown,Spayed Female,Stray,Normal,6,1460,1.9459101490553128,Adulto (3-7a),mix,German Shepherd Mix,Bicolor
Dog,Tricolor/Brown,Spayed Female,Stray,Normal,354,1460,5.872117789475416,Adulto (3-7a),mix,German Shepherd Mix,Monocolor
Cat,White/Gray,Neutered Male,Stray,Normal,252,1095,5.53338948872752,Adulto joven (1-3a),purebred,Domestic Shorthair Mix,Monocolor
Cat,White/Blue Tabby,Intact Male,Stray,Normal,30,28,3.4339872044851463,Cachorro (<6m),purebred,Domestic Longhair Mix,Monocolor
Dog,Black,Intact Female,Stray,Normal,5,365,1.791759469228055,Joven (6m-1a),mix,Other,Monocolor
Dog,Black,Intact Male,Stray,Normal,22,30,3.1354942159291497,Cachorro (<6m),mix,Labrador Retriever Mix,Bicolor
Dog,Black,Intact Male,Stray,Normal,5,365,1.791759469228055,Joven (6m-1a),purebred,Chihuahua Shorthair,Bicolor
Dog,White,Intact Female,Stray,Injured,5,365,1.791759469228055,Joven (6m-1a),mix,Other,Bicolor
Dog,White,Intact Female,Stray,Injured,7,365,2.079441541679836,Joven (6m-1a),mix,Other,Monocolor
Dog,White/Tan,Neutered Male,Public Assist,Behavior,46,365,3.8501476017100575,Joven (6m-1a),purebred,Other,Monocolor
Dog,Tan,Intact Male,Stray,Normal,3,1825,1.3862943611198906,Adulto (3-7a),mix,Miniature Poodle Mix,Bicolor
Cat,Brown Tabby,Intact Male,Stray,Normal,5,90,1.791759469228055,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Cat,Brown Tabby/White,Intact Female,Stray,Nursing,217,1095,5.384495062789089,Adulto joven (1-3a),purebred,Domestic Shorthair Mix,Monocolor
Dog,Black/White,Spayed Female,Owner Surrender,Normal,22,365,3.1354942159291497,Joven (6m-1a),purebred,Other,Bicolor
Dog,Black/White,Neutered Male,Owner Surrender,Normal,49,2920,3.912023005428146,Senior (>7a),mix,Border Collie Mix,Monocolor
Dog,Brown/White,Intact Male,Stray,Normal,6,365,1.9459101490553128,Joven (6m-1a),mix,Chihuahua Shorthair Mix,Bicolor
Cat,Orange Tabby,Intact Male,Stray,Normal,13,60,2.6390573296152584,Cachorro (<6m),purebred,Domestic Shorthair,Bicolor
Cat,Orange Tabby,Intact Male,Stray,Sick,3,60,1.3862943611198906,Cachorro (<6m),purebred,Domestic Shorthair,Monocolor
Cat,Calico/Brown,Intact Female,Stray,Normal,9,30,2.302585092994046,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Brown,Intact Male,Stray,Normal,3,90,1.3862943611198906,Cachorro (<6m),mix,Chihuahua Shorthair Mix,Monocolor
Dog,White,Intact Female,Stray,Normal,38,730,3.6635616461296463,Adulto joven (1-3a),purebred,Other,Monocolor
Dog,Black,Neutered Male,Owner Surrender,Normal,5,365,1.791759469228055,Joven (6m-1a),mix,Labrador Retriever Mix,Bicolor
Dog,Brown/Black,Intact Male,Stray,Normal,4,60,1.6094379124341005,Cachorro (<6m),mix,Other,Monocolor
Dog,Brown Brindle/White,Intact Female,Owner Surrender,Normal,344,1825,5.84354441703136,Adulto (3-7a),mix,Catahoula Mix,Bicolor
Dog,Black,Intact Male,Stray,Normal,61,180,4.127134385045092,Cachorro (<6m),mix,Labrador Retriever Mix,Monocolor
Dog,Black,Intact Male,Stray,Normal,90,180,4.51085950651685,Cachorro (<6m),mix,Labrador Retriever Mix,Bicolor
Dog,Black,Intact Male,Stray,Normal,81,180,4.406719247264253,Cachorro (<6m),mix,Labrador Retriever Mix,Bicolor
Dog,Black/White,Intact Female,Stray,Normal,8,210,2.19722457733622,Joven (6m-1a),mix,Chihuahua Shorthair Mix,Monocolor
Cat,Orange Tabby/White,Intact Female,Owner Surrender,Normal,4,60,1.6094379124341005,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,White,Intact Female,Stray,Normal,4,365,1.6094379124341005,Joven (6m-1a),mix,Other,Bicolor
Dog,Tan/White,Intact Female,Stray,Normal,11,365,2.4849066497880004,Joven (6m-1a),mix,Other,Bicolor
Cat,Blue/White,Intact Male,Stray,Normal,12,60,2.5649493574615367,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Tan,Intact Female,Stray,Normal,10,365,2.3978952727983707,Joven (6m-1a),purebred,Other,Bicolor
Dog,Brown/White,Spayed Female,Owner Surrender,Normal,36,730,3.610917912644224,Adulto joven (1-3a),mix,Pit Bull Mix,Bicolor
Dog,White/Brown,Intact Female,Stray,Normal,8,730,2.19722457733622,Adulto joven (1-3a),mix,Other,Bicolor
Dog,White,Intact Female,Stray,Normal,5,150,1.791759469228055,Cachorro (<6m),mix,Labrador Retriever Mix,Monocolor
Dog,Brown/White,Intact Male,Stray,Normal,6,730,1.9459101490553128,Adulto joven (1-3a),mix,Chihuahua Shorthair Mix,Bicolor
Cat,Black/White,Neutered Male,Owner Surrender,Normal,1,120,0.6931471805599453,Cachorro (<6m),purebred,Domestic Medium Hair,Bicolor
Dog,Black/White,Intact Male,Stray,Normal,6,30,1.9459101490553128,Cachorro (<6m),purebred,Other,Monocolor
Dog,Black/White,Intact Male,Stray,Normal,24,30,3.218875824868201,Cachorro (<6m),purebred,Other,Monocolor
Dog,Blue Tick/Tan,Intact Male,Stray,Normal,6,365,1.9459101490553128,Joven (6m-1a),mix,Other,Monocolor
Dog,Brown/Black,Intact Female,Stray,Normal,123,1095,4.820281565605037,Adulto joven (1-3a),purebred,Other,Monocolor
Dog,Black/Brown,Intact Female,Owner Surrender,Normal,33,30,3.5263605246161616,Cachorro (<6m),mix,German Shepherd Mix,Bicolor
Dog,Brown/White,Intact Male,Public Assist,Normal,3,365,1.3862943611198906,Joven (6m-1a),mix,Labrador Retriever Mix,Bicolor
Cat,Calico,Spayed Female,Stray,Normal,32,2190,3.49650756146648,Adulto (3-7a),purebred,Domestic Shorthair Mix,Monocolor
Cat,Torbie,Intact Female,Stray,Normal,10,60,2.3978952727983707,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Black/White,Intact Female,Stray,Normal,6,150,1.9459101490553128,Cachorro (<6m),purebred,Other,Monocolor
Dog,White,Intact Female,Stray,Normal,91,1095,4.5217885770490405,Adulto joven (1-3a),mix,Boxer Mix,Bicolor
Dog,Brown/Fawn,Intact Female,Stray,Injured,28,730,3.367295829986474,Adulto joven (1-3a),purebred,Pit Bull,Bicolor
Dog,Sable/White,Intact Female,Stray,Normal,20,1825,3.044522437723423,Adulto (3-7a),mix,Boxer Mix,Bicolor
Dog,Black,Intact Female,Stray,Normal,6,210,1.9459101490553128,Joven (6m-1a),mix,Labrador Retriever Mix,Bicolor
Cat,Brown Tabby,Intact Male,Stray,Injured,27,1095,3.332204510175204,Adulto joven (1-3a),purebred,Domestic Shorthair Mix,Bicolor
Dog,White/Black,Spayed Female,Stray,Normal,4,150,1.6094379124341005,Cachorro (<6m),mix,Labrador Retriever Mix,Bicolor
Cat,Orange Tabby,Neutered Male,Owner Surrender,Normal,14,1825,2.70805020110221,Adulto (3-7a),purebred,Domestic Shorthair Mix,Monocolor
Cat,Orange Tabby/White,Intact Female,Owner Surrender,Normal,29,30,3.4011973816621555,Cachorro (<6m),purebred,Domestic Medium Hair,Tricolor
Cat,Brown Tabby,Intact Male,Stray,Normal,59,30,4.0943445622221,Cachorro (<6m),purebred,Domestic Shorthair Mix,Tricolor
Dog,White,Neutered Male,Stray,Sick,47,1460,3.871201010907891,Adulto (3-7a),mix,Miniature Poodle Mix,Tricolor
Cat,Brown Tabby/White,Spayed Female,Stray,Normal,4,120,1.6094379124341005,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Black/White,Intact Female,Stray,Normal,9,180,2.302585092994046,Cachorro (<6m),purebred,Other,Bicolor
Dog,Black,Intact Female,Stray,Normal,3,730,1.3862943611198906,Adulto joven (1-3a),mix,Chihuahua Shorthair Mix,Monocolor
Dog,Black/White,Intact Male,Stray,Sick,11,30,2.4849066497880004,Cachorro (<6m),mix,Labrador Retriever Mix,Monocolor
Cat,Black/White,Intact Male,Stray,Normal,64,21,4.174387269895637,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Black/White,Intact Female,Stray,Normal,28,30,3.367295829986474,Cachorro (<6m),mix,Labrador Retriever Mix,Monocolor
Cat,Blue/White,Intact Male,Stray,Normal,33,60,3.5263605246161616,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Cat,Blue/White,Intact Male,Stray,Normal,35,60,3.58351893845611,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Brown/White,Intact Male,Stray,Normal,4,730,1.6094379124341005,Adulto joven (1-3a),mix,Other,Monocolor
Dog,Brown,Neutered Male,Stray,Normal,3,150,1.3862943611198906,Cachorro (<6m),mix,Other,Tricolor
Dog,Black/White,Intact Female,Stray,Normal,8,365,2.19722457733622,Joven (6m-1a),mix,Australian Cattle Dog Mix,Bicolor
Dog,Black/Brown,Neutered Male,Owner Surrender,Normal,37,2920,3.6375861597263857,Senior (>7a),mix,Other,Bicolor
Cat,Orange Tabby,Intact Male,Owner Surrender,Normal,2,150,1.0986122886681098,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Cat,White/Black,Intact Male,Stray,Normal,10,60,2.3978952727983707,Cachorro (<6m),purebred,Domestic Shorthair,Monocolor
Dog,Black/Brown Brindle,Neutered Male,Owner Surrender,Normal,42,3285,3.7612001156935615,Senior (>7a),mix,Other,Bicolor
Dog,White/Brown,Intact Female,Stray,Normal,22,2920,3.1354942159291497,Senior (>7a),purebred,Other,Monocolor
Dog,White/Brown,Intact Female,Stray,Normal,6,2920,1.9459101490553128,Senior (>7a),purebred,Other,Bicolor
Cat,Seal Point,Intact Female,Stray,Injured,18,365,2.9444389791664403,Joven (6m-1a),purebred,Other,Monocolor
Dog,Brown/White,Spayed Female,Owner Surrender,Normal,215,1825,5.375278407684165,Adulto (3-7a),mix,Pit Bull Mix,Bicolor
Cat,Orange Tabby,Neutered Male,Owner Surrender,Normal,1,120,0.6931471805599453,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Cat,Black,Intact Male,Stray,Normal,12,30,2.5649493574615367,Cachorro (<6m),purebred,Domestic Shorthair,Bicolor
Cat,Black,Intact Male,Stray,Normal,4,30,1.6094379124341005,Cachorro (<6m),purebred,Domestic Shorthair,Monocolor
Dog,Black/White,Intact Female,Stray,Normal,4,270,1.6094379124341005,Joven (6m-1a),mix,Border Collie Mix,Bicolor
Dog,White/Brown,Spayed Female,Owner Surrender,Normal,150,365,5.017279836814924,Joven (6m-1a),mix,Pointer Mix,Monocolor
Dog,Black,Intact Male,Stray,Normal,42,1825,3.7612001156935615,Adulto (3-7a),purebred,Other,Monocolor
Dog,Black,Intact Male,Stray,Normal,61,1825,4.127134385045092,Adulto (3-7a),purebred,Other,Monocolor
Dog,Brown/Black,Spayed Female,Owner Surrender,Normal,18,1460,2.9444389791664403,Adulto (3-7a),mix,Other,Bicolor
Cat,Tortie,Intact Female,Stray,Normal,75,14,4.330733340286331,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Blue/White,Neutered Male,Owner Surrender,Normal,109,730,4.700480365792417,Adulto joven (1-3a),mix,Staffordshire Mix,Bicolor
Dog,Brown Brindle,Neutered Male,Stray,Normal,20,365,3.044522437723423,Joven (6m-1a),purebred,Other,Bicolor
Cat,Lynx Point,Intact Female,Stray,Normal,46,30,3.8501476017100575,Cachorro (<6m),mix,Siamese Mix,Monocolor
Dog,Brown,Intact Male,Owner Surrender,Normal,5,730,1.791759469228055,Adulto joven (1-3a),purebred,Other,Bicolor
Dog,Black/Brown,Intact Male,Stray,Injured,76,150,4.343805421853684,Cachorro (<6m),purebred,Other,Bicolor
Cat,Cream Tabby,Intact Male,Owner Surrender,Normal,69,30,4.248495242049359,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Cat,Blue Cream,Intact Female,Stray,Injured,107,60,4.68213122712422,Cachorro (<6m),purebred,Domestic Shorthair,Bicolor
Cat,Black,Neutered Male,Owner Surrender,Normal,1,365,0.6931471805599453,Joven (6m-1a),purebred,Domestic Shorthair,Monocolor
Dog,Blue Merle/Tan,Intact Female,Stray,Normal,5,30,1.791759469228055,Cachorro (<6m),mix,Catahoula Mix,Bicolor
Cat,Torbie/White,Intact Female,Owner Surrender,Normal,10,60,2.3978952727983707,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Brown/White,Spayed Female,Owner Surrender,Normal,1,180,0.6931471805599453,Cachorro (<6m),purebred,Other,Bicolor
Cat,Black,Spayed Female,Stray,Normal,18,1460,2.9444389791664403,Adulto (3-7a),purebred,Domestic Longhair Mix,Bicolor
Cat,Black/White,Intact Male,Stray,Normal,63,28,4.158883083359672,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,White,Intact Female,Stray,Normal,6,365,1.9459101490553128,Joven (6m-1a),purebred,Other,Bicolor
Cat,Brown Tabby/White,Intact Male,Stray,Normal,88,30,4.48863636973214,Cachorro (<6m),purebred,Domestic Medium Hair Mix,Bicolor
Cat,Calico,Intact Female,Stray,Injured,80,30,4.394449154672439,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Tan,Intact Female,Stray,Normal,4,90,1.6094379124341005,Cachorro (<6m),purebred,Labrador Retriever,Monocolor
Cat,Blue Tabby/White,Neutered Male,Owner Surrender,Normal,17,365,2.8903717578961645,Joven (6m-1a),purebred,Domestic Longhair Mix,Bicolor
Dog,Black/White,Intact Female,Stray,Normal,197,210,5.288267030694535,Joven (6m-1a),mix,Chihuahua Shorthair Mix,Bicolor
Dog,Blue/White,Intact Female,Stray,Normal,92,730,4.532599493153256,Adulto joven (1-3a),mix,Pit Bull Mix,Bicolor
Dog,Black/White,Intact Male,Stray,Normal,38,60,3.6635616461296463,Cachorro (<6m),mix,Labrador Retriever Mix,Bicolor
Dog,Brown/White,Intact Female,Stray,Normal,31,2555,3.4657359027997265,Adulto (3-7a),purebred,Other,Monocolor
Dog,Chocolate,Spayed Female,Stray,Normal,6,2920,1.9459101490553128,Senior (>7a),mix,Labrador Retriever Mix,Monocolor
Dog,Black,Intact Female,Stray,Normal,39,1460,3.688879454113936,Adulto (3-7a),mix,Labrador Retriever Mix,Bicolor
Dog,White/Tan,Intact Male,Stray,Normal,209,365,5.3471075307174685,Joven (6m-1a),purebred,Other,Monocolor
Dog,White,Intact Female,Stray,Normal,56,4,4.04305126783455,Cachorro (<6m),purebred,Other,Bicolor
Dog,Blue Tick/Tricolor,Intact Male,Owner Surrender,Normal,71,1095,4.276666119016055,Adulto joven (1-3a),mix,Other,Bicolor
Dog,Black/White,Intact Female,Stray,Normal,225,730,5.420534999272286,Adulto joven (1-3a),purebred,Other,Monocolor
Cat,Torbie,Spayed Female,Owner Surrender,Normal,19,2920,2.995732273553991,Senior (>7a),purebred,Domestic Shorthair Mix,Monocolor
Cat,Blue Tabby,Intact Female,Owner Surrender,Normal,10,90,2.3978952727983707,Cachorro (<6m),purebred,Domestic Shorthair,Bicolor
Cat,Black/White,Neutered Male,Stray,Normal,5,60,1.791759469228055,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Brown/White,Intact Male,Stray,Normal,254,30,5.541263545158426,Cachorro (<6m),mix,Pit Bull Mix,Bicolor
Cat,Tortie,Spayed Female,Owner Surrender,Normal,14,180,2.70805020110221,Cachorro (<6m),purebred,Domestic Shorthair,Bicolor
Dog,Tan/White,Intact Female,Stray,Normal,14,180,2.70805020110221,Cachorro (<6m),mix,Other,Bicolor
Dog,Blue/White,Intact Female,Stray,Normal,4,210,1.6094379124341005,Joven (6m-1a),mix,Staffordshire Mix,Bicolor
Cat,Tortie,Intact Female,Stray,Normal,37,28,3.6375861597263857,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Tan/White,Spayed Female,Stray,Normal,4,730,1.6094379124341005,Adulto joven (1-3a),mix,Chihuahua Shorthair Mix,Monocolor
Dog,Blue/White,Intact Female,Stray,Normal,53,730,3.9889840465642745,Adulto joven (1-3a),mix,Staffordshire Mix,Bicolor
Dog,Black Brindle/Black,Spayed Female,Owner Surrender,Normal,29,365,3.4011973816621555,Joven (6m-1a),purebred,Other,Monocolor
Cat,White/Brown Tabby,Intact Female,Stray,Normal,7,30,2.079441541679836,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Black,Neutered Male,Owner Surrender,Normal,19,2920,2.995732273553991,Senior (>7a),purebred,Other,Monocolor
Dog,Black,Neutered Male,Owner Surrender,Normal,6,2920,1.9459101490553128,Senior (>7a),purebred,Other,Bicolor
Dog,Black/White,Intact Male,Stray,Normal,4,730,1.6094379124341005,Adulto joven (1-3a),mix,Other,Bicolor
Dog,Blue,Intact Female,Stray,Normal,5,30,1.791759469228055,Cachorro (<6m),mix,Other,Bicolor
Dog,Chocolate/White,Neutered Male,Owner Surrender,Normal,11,2920,2.4849066497880004,Senior (>7a),mix,Chihuahua Shorthair Mix,Monocolor
Dog,White/Tan,Intact Male,Stray,Normal,34,30,3.555348061489413,Cachorro (<6m),mix,Australian Shepherd Mix,Bicolor
Cat,Black,Intact Male,Stray,Normal,57,30,4.060443010546419,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Brown,Spayed Female,Stray,Normal,5,1825,1.791759469228055,Adulto (3-7a),mix,Dachshund Mix,Monocolor
Cat,Black/White,Neutered Male,Owner Surrender,Normal,40,2555,3.713572066704308,Adulto (3-7a),purebred,Domestic Shorthair,Bicolor
Dog,Brown/Black,Spayed Female,Owner Surrender,Normal,1,150,0.6931471805599453,Cachorro (<6m),purebred,Other,Bicolor
Cat,Brown Tabby/White,Intact Male,Stray,Normal,26,30,3.295836866004329,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Cat,Black,Intact Male,Stray,Normal,135,14,4.912654885736052,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Dog,Tan/White,Intact Female,Stray,Normal,82,365,4.418840607796598,Joven (6m-1a),purebred,Other,Bicolor
Dog,Tan,Intact Female,Stray,Normal,4,60,1.6094379124341005,Cachorro (<6m),mix,Labrador Retriever Mix,Bicolor
Dog,Red/White,Intact Male,Stray,Normal,5,60,1.791759469228055,Cachorro (<6m),mix,Other,Monocolor
Cat,Black,Spayed Female,Stray,Normal,9,730,2.302585092994046,Adulto joven (1-3a),purebred,Domestic Longhair Mix,Bicolor
Dog,Brown/Tan,Spayed Female,Stray,Normal,1,1095,0.6931471805599453,Adulto joven (1-3a),purebred,Other,Bicolor
Cat,Cream/White,Intact Male,Stray,Normal,74,14,4.31748811353631,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Cat,Calico/White,Spayed Female,Owner Surrender,Normal,4,2190,1.6094379124341005,Adulto (3-7a),purebred,Domestic Shorthair Mix,Bicolor
Cat,White/Black,Spayed Female,Owner Surrender,Normal,69,365,4.248495242049359,Joven (6m-1a),purebred,Domestic Shorthair,Monocolor
Dog,Gray/Black,Neutered Male,Owner Surrender,Normal,2,365,1.0986122886681098,Joven (6m-1a),mix,Siberian Husky Mix,Monocolor
Dog,Black/Brown,Intact Male,Stray,Normal,4,730,1.6094379124341005,Adulto joven (1-3a),mix,Chihuahua Shorthair Mix,Monocolor
Dog,Black/White,Intact Male,Owner Surrender,Normal,2,35,1.0986122886681098,Cachorro (<6m),purebred,Other,Bicolor
Dog,Black/White,Intact Male,Owner Surrender,Normal,40,35,3.713572066704308,Cachorro (<6m),purebred,Other,Monocolor
Dog,Tricolor,Intact Female,Stray,Normal,50,60,3.9318256327243257,Cachorro (<6m),mix,Other,Monocolor
Dog,Brown Brindle,Intact Female,Stray,Normal,90,730,4.51085950651685,Adulto joven (1-3a),mix,Pit Bull Mix,Bicolor
Dog,Blue/White,Intact Male,Stray,Normal,19,365,2.995732273553991,Joven (6m-1a),mix,Staffordshire Mix,Bicolor
Cat,Orange Tabby/White,Intact Male,Owner Surrender,Normal,22,150,3.1354942159291497,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Brown,Intact Male,Stray,Normal,31,730,3.4657359027997265,Adulto joven (1-3a),mix,German Shepherd Mix,Bicolor
Dog,Tan,Neutered Male,Stray,Normal,17,1825,2.8903717578961645,Adulto (3-7a),mix,Chihuahua Shorthair Mix,Monocolor
Dog,White,Neutered Male,Owner Surrender,Normal,37,730,3.6375861597263857,Adulto joven (1-3a),purebred,Other,Monocolor
Dog,Black/White,Intact Male,Stray,Normal,46,730,3.8501476017100575,Adulto joven (1-3a),mix,Chihuahua Shorthair Mix,Bicolor
Cat,Tortie,Intact Female,Stray,Normal,5,90,1.791759469228055,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Cream,Neutered Male,Public Assist,Normal,5,2190,1.791759469228055,Adulto (3-7a),mix,Labrador Retriever Mix,Bicolor
Cat,Black/White,Intact Male,Stray,Normal,48,30,3.8918202981106265,Cachorro (<6m),purebred,Domestic Shorthair Mix,Bicolor
Dog,Brown/White,Spayed Female,Owner Surrender,Normal,4,150,1.6094379124341005,Cachorro (<6m),mix,Labrador Retriever Mix,Monocolor
Cat,Torbie,Intact Female,Stray,Normal,50,30,3.9318256327243257,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
Cat,Black/White,Intact Female,Owner Surrender,Normal,186,30,5.231108616854587,Cachorro (<6m),purebred,Domestic Shorthair Mix,Monocolor
